conversation_id,turn_number,generated_response
523,6,"I don;t know about that-but what we can do is to help them rebuild their own, because right now our own country cannot take on any more burden-we have so many issues with our own poor and homeless and the economy!"
523,7,this reminds me of a podcast i watched where companies say theyre doing good by for example donating a pair of sneakers to people in africa who are poverty striken. to the outside world this looks great and feels like it is a good deed. But many people in poverty in africa do not wear shoes. they don't need sneakers. they need clean water and seeds to prossper. This is similair to how with war we think killing everyone is going to solve the problem but it won't. it's a facade to look like were doing something good when it is actually not helping at all.
523,8,exactly while their people suffer in poverty
523,9,"Well yes poor people too, it's sad all around. sad there isn't more help being given out"
523,10,"And the hunger in the rest of the world is astounding.    Occasionally you will get the sad TV commercial of malnourished kids in Africa, etc. but I don't give to those.   Most of it is given to huge executive salaries (mad face)"
525,6,what did you think about this article
525,7,What did you feel about the article?
525,8,What did you think of the article?
525,9,what did you think about the article?
525,10,"Hello, what did you think about the article?"
526,6,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
526,7,Yeah for sure...Do you think you personally would return to Mosul if you were a Christian?
526,8,"The response of France also sounded a lot like a U.S. response to a similar event.  The government claims more power to insure safety.  Backlash against Muslims increases for a time.  People mourn.  It could have been America after 9/11.  My point is, people are largely people, even though other countries like to paint the U.S. as different.  Of course it is in ways, but we're also just all people."
526,9,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
526,10,"I felt pretty bad reading it, with all the issues going on in the country right now i had never even though of how bad things must be for Muslims living in America"
530,6,"I wish they would. I mean taking the article into consideration again, even if you forget the killing the damage done in the name of religion needs to be addressed. Both sides need to do more to remember peace, tolerance and acceptance is better than violence and hatred."
530,7,"I agree that killing is wrong. However, regarding this article it is nearly impossible to set religion aside as it is the reason the killings are happening."
530,8,I find it interesting that so many people still use religion as an excuse for violence and only focus on the most violent parts of the religion and ignore the preachings of tolerance and peace.
530,9,i think its wrong to attack people for having a certain religion
530,10,"I think we should even put religion aside, it is never right to kill another person"
531,6,Hey there! So this article is something. I can't help but wonder why people of different religious backgrounds can't seem to get along in that part of the world. We seem to do ok over here in the West.
531,7,Well this article just made me really grateful to be an American.  The horrors those people are enduring are truly outlandish.
531,8,"I have not heard about that but I am sure you are probably right.  It seems like senseless violence is just a part of the culture there.  Not that it isn't here either, but it seems more out of hand there.  Well I must go, it has been a pleasure speaking with you about this.  I hope you have a nice afternoon.  Goodbye"
531,9,Yeah for sure...Do you think you personally would return to Mosul if you were a Christian?
531,10,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
